n_estimators,training_acc,test_acc,time
50,0.9999791666666666,0.8791666666666667,27.386467456817627
100,1.0,0.8825833333333334,85.63029193878174
150,1.0,0.884,174.81269240379333
200,1.0,0.88525,290.4926061630249
250,1.0,0.8848333333333334,437.0783793926239
300,1.0,0.88475,614.8022587299347
350,1.0,0.8851666666666667,823.0809125900269
400,1.0,0.8851666666666667,1060.860993862152
450,1.0,0.88575,1325.3727433681488
500,1.0,0.8850833333333333,1620.2209515571594
