max_depth,training_acc,test_acc,time
1,0.82525,0.8208333333333333,1582.0568373203278
3,0.9076458333333334,0.8755,6010.022336244583
5,0.9736041666666667,0.89275,12915.871345281601
7,0.9999583333333333,0.8984166666666666,22380.266744852066
9,1.0,0.8974166666666666,34894.4635887146
