n_estimators,training_acc,test_acc,time
10,0.8077291666666667,0.8031666666666667,673.6083769798279
20,0.8379166666666666,0.8294166666666667,1840.8349056243896
30,0.8558125,0.84625,3623.0142619609833
40,0.8683333333333333,0.8556666666666667,6122.604464054108
50,0.8780208333333334,0.86075,9049.776211977005
